Chemical_Group_Name,EC_No,CAS_No,Annex
"Chlordane","200-349-0","57-74-9","Annex I Part 3
Annex V Part 1"
"Chlordecone","205-601-3","143-50-0","Annex V Part 1"
"Chlordimeform","228-200-5","6164-98-3","Annex I Part 1
Annex I Part 3"
"Chlorfenapyr","","122453-73-0","Annex I Part 1
Annex I Part 2"
"Chlorfenvinphos","207-432-0","470-90-6","Annex I Part 1"
"Chloric acid, copper salt","","26506-47-8",""
"Chlormephos","246-538-1","24934-91-6","Annex I Part 1"
"Chlorobenzilate","208-110-2","510-15-6","Annex I Part 1
Annex I Part 3"
"Chloroform","200-663-8","67-66-3","Annex I Part 1"
"Chloropicrin","200-930-9","76-06-2","Annex I Part 1
Annex I Part 2"
"Chlorothalonil","217-588-1","1897-45-6","Annex I Part 1
Annex I Part 2"
"Chlorpropham","202-925-7","101-21-3","Annex I Part 1
Annex I Part 2"
"Chlorthal-dimethyl","217-464-7","1861-32-1","Annex I Part 1
Annex I Part 2"
"Chlozolinate","282-714-4","84332-86-5","Annex I Part 1
Annex I Part 2"
"Cholecalciferol","200-673-2","67-97-0","Annex I Part 1"
"Chrysotile","","12001-29-5",""
"Chrysotile asbestos","","132207-32-0",""
"Cinidon-ethyl","","142891-20-1","Annex I Part 1
Annex I Part 2"
"Cinnabar ore","","19122-79-3",""
"Clothianidin","","210880-92-5","Annex I Part 1
Annex I Part 2"
"Cobalt arsenide","265-784-0","65453-05-6",""
"Commercial octabromodiphenyl ether (including hexabromodiphenyl ether and heptabromodiphenyl ether)","","","Annex I Part 3"
"Commercial pentabromodiphenyl ether (including tetrabromodiphenyl ether and pentabromodiphenyl ether)","","","Annex I Part 3"
"Copper dichlorate","238-767-0","14721-21-2",""
"Coumafuryl","204-195-5","117-52-2","Annex I Part 1"
"Creosote","232-287-5","8001-58-9",""
"Creosote and Creosote related substances","","","Annex I Part 1"
"Creosote oil","263-047-8","61789-28-4",""
"Creosote oil, acenaphthene fraction","292-605-3","90640-84-9",""
"Creosote oil, high-boiling distillate","274-565-9","70321-79-8",""
"Creosote, wood","232-419-1","8021-39-4",""
"Crimidine","208-622-6","535-89-7","Annex I Part 1"
"Crocidolite","","12001-28-4",""
"Cyanamide","206-992-3","420-04-2","Annex I Part 1"
"Cyanazine","244-544-9","21725-46-2","Annex I Part 1"
"Cybutryne","248-872-3","28159-98-0","Annex I Part 1
Annex I Part 2"
"Cyclanilide","419-150-7","113136-77-9","Annex I Part 1
Annex I Part 2"
"Cyfluthrin","269-855-7","68359-37-5","Annex I Part 1"
"Cyhalothrine","268-450-2","68085-85-8","Annex I Part 1"
"Cyhexatin","236-049-1","13121-70-5","Annex I Part 1
Annex I Part 2"
"DBB (Di-µ-oxo-di-n-butylstannio-hydroxyborane)","401-040-5","75113-37-0","Annex I Part 1"
"DDT","200-024-3","50-29-3","Annex I Part 3
Annex V Part 1"
"DNOC","208-601-1","534-52-1",""
"DPX KE 459 (flupyrsulfuron-methyl)","","","Annex I Part 1
Annex I Part 2"
"Decanoic acid, branched, cadmium salts","291-155-5","90342-19-1",""
"Desmedipham","237-198-5","13684-56-5","Annex I Part 1
Annex I Part 2"
"Diarsenic acid, sodium salt","","13464-42-1",""
"Diarsenic pentaoxide","215-116-9","1303-28-2","Annex I Part 1
Annex I Part 2"
"Diazene, 1,1'-[[1,1'-biphenyl]-4,4'-diylbis[2-hydrazinyl-1-ylidene(phenylmethylidyne)]]bis[2-phenyl-","","21520-87-6",""
"Diazinon","206-373-8","333-41-5","Annex I Part 1
Annex I Part 2"
"Dibutyltin Bis(trifluoromethanesulfonate)","670-965-6","38438-11-8",""
"Dibutyltin compounds","","","Annex I Part 1"
"Dichlobenil","214-787-5","1194-65-6","Annex I Part 1
Annex I Part 2"
"Dichlorvos","200-547-7","62-73-7","Annex I Part 1
Annex I Part 2"
"Dicloran","202-746-4","99-30-9","Annex I Part 1
Annex I Part 2"
"Dicofol","204-082-0","115-32-2","Annex I Part 1
Annex I Part 2"
"Dicofol containing <78% p,p`-dicofol or >1g/kg of DDT and DDT related compounds","204-082-0","115-32-2","Annex I Part 1
Annex I Part 2"
"Didecyldimethylammonium chloride","230-525-2","7173-51-5","Annex I Part 1"
"Dieldrin","200-484-5","60-57-1","Annex I Part 3
Annex V Part 1"
"Diisobutyl phthalate","201-553-2","84-69-5","Annex I Part 1
Annex I Part 2"
"Diisooctyl 2,2'-[(dioctylstannylene)bis(thio)]diacetate","247-666-0","26401-97-8",""
"Dimethenamid","","87674-68-8","Annex I Part 1
Annex I Part 2"
"Dimethoate","200-480-3","60-51-5","Annex I Part 1
Annex I Part 2"
"Diniconazole-M","","83657-18-5","Annex I Part 1
Annex I Part 2"
"Dinitro-ortho-cresol (DNOC) and its salts (such as ammonium salt, potassium salt and sodium salt)","","","Annex I Part 1
Annex I Part 3"
"Dinobuton","213-546-1","973-21-7","Annex I Part 1"
"Dinoseb and its salts and esters","","","Annex I Part 1
Annex I Part 3"
"Dinoterb","215-813-8","1420-07-1","Annex I Part 1
Annex I Part 2"
"Dioctyltin compounds","","","Annex I Part 1"
"Diphenylamine","204-539-4","122-39-4","Annex I Part 1
Annex I Part 2"
"Diquat, including diquat dibromide","","","Annex I Part 1
Annex I Part 2"
"Disodium 4-amino-5-hydroxy-6-[[4'-[(4-hydroxyphenyl)azo][1,1'-biphenyl]-4-yl]azo]-3-[(4-nitrophenyl)azo]naphthalene-2,7-disulphonate","224-376-2","4335-09-5",""
"Distillates (coal tar), naphthalene oils","283-484-8","84650-04-4",""
"Distillates (coal tar), upper, heavy anthracene oil","","65996-91-0",""
"Dodecanoic acid, cadmium salt, basic","309-789-9","101012-89-9",""
"Dustable powder formulations containing a combination of: Benomyl at or above 7 %, Carbofuran at or above 10 % and Thiram at or above 15 %","","","Annex I Part 1
Annex I Part 3"
"Endosulfan","204-079-4","115-29-7","Annex I Part 3
Annex V Part 1"
"Endrin","200-775-7","72-20-8","Annex V Part 1"
"Ethalfluralin","259-564-3","55283-68-6","Annex I Part 1
Annex I Part 2"
"Ethanamine, 2-​[[(tributylstannyl)​methyl]​thio]​-","","1452829-00-3",""
"Ethion","209-242-3","563-12-2","Annex I Part 1"
"Ethoprophos","236-152-1","13194-48-4","Annex I Part 1
Annex I Part 2"
"Ethoxyquin","202-075-7","91-53-2","Annex I Part 1
Annex I Part 2"
"Ethoxysulfuron","","126801-58-9","Annex I Part 1
Annex I Part 2"
"Ethylene dichloride (1,2-dichloroethane)","203-458-1","107-06-2","Annex I Part 1
Annex I Part 3"
"Ethylene oxide","200-849-9","75-21-8","Annex I Part 1
Annex I Part 3"
"Extract residues (coal), low temp. coal atar alk.","310-191-5","122384-78-5",""
"Fatty acids, C10-18, cadmium salts","268-620-6","68131-58-8",""
"Fatty acids, C12-18, barium cadmium salts","274-304-9","70084-75-2",""
"Fatty acids, C12-18, cadmium salts","268-621-1","68131-59-9",""
"Fatty acids, C14-18 and C18-unsatd., branched and linear, hydrogenated, cadmium salts","296-564-2","92797-28-9",""
"Fatty acids, C14-18, cadmium salts","270-067-0","68409-82-5",""
"Fatty acids, C16-18, lead salts","292-966-7","91031-62-8",""
"Fatty acids, C8-10-branched, cadmium salts","296-092-7","92257-06-2",""
"Fatty acids, C8-18 and C18-unsatd., cadmium salts","272-529-7","68876-84-6",""
"Fatty acids, C9-11-branched, cadmium salts","287-817-8","85586-15-8",""
"Fatty acids, C9-13-neo-, cadmium salts","296-441-3","92704-12-6",""
"Fatty acids, castor-oil, hydrogenated, cadmium salts","294-296-0","91697-35-7",""
"Fatty acids, coco, cadmium salts","276-952-8","72869-63-7",""
"Fatty acids, olive-oil, cadmium salts","296-445-5","92704-15-9",""
"Fatty acids, peanut-oil, cadmium salts","296-449-7","92704-19-3",""
"Fatty acids, rape-oil, cadmium salts","296-454-4","92704-24-0",""
"Fatty acids, tall-oil, cadmium salts","272-499-5","68855-80-1",""
"Fatty acids, tallow, hydrogenated, cadmium salts","273-203-7","68953-39-9",""
"Fenamidone","","161326-34-7","Annex I Part 1
Annex I Part 2"
"Fenarimol","262-095-7","60168-88-9","Annex I Part 1
Annex I Part 2"
"Fenbutatin oxide","236-407-7","13356-08-6","Annex I Part 1
Annex I Part 2"
"Fenitrothion","204-524-2","122-14-5","Annex I Part 1
Annex I Part 2"
"Fenpropathrin","254-485-0","39515-41-8","Annex I Part 1"
"Fenthion","200-231-9","55-38-9","Annex I Part 1
Annex I Part 2"
"Fentin acetate","212-984-0","900-95-8","Annex I Part 1
Annex I Part 2"
"Fentin hydroxide","200-990-6","76-87-9","Annex I Part 1
Annex I Part 2"
"Fenvalerate","257-326-3","51630-58-1","Annex I Part 1"
"Ferbam","238-484-2","14484-64-1","Annex I Part 1"
"Fipronil","","120068-37-3","Annex I Part 1
Annex I Part 2"
"Flue dust, arsenic-contg.","232-434-3","8028-73-7",""
"Flue dust, cadmium-refining","273-754-3","69012-57-3",""
"Flue dust, copper-lead blast furnace, cadmium-indium-enriched","309-645-5","100656-55-1",""
"Flue dust, lead-manufg., cadmium-rich","285-554-3","85117-02-8",""
"Flue dust, lead-refining","273-809-1","69029-67-0",""
"Flue dust, lead-refining","273-809-1","69029-67-0",""
"Flufenoxuron","417-680-3","101463-69-8","Annex I Part 1
Annex I Part 2"
"Fluoroacetamide","211-363-1","640-19-7","Annex I Part 1
Annex I Part 3"
"Flurenol","207-397-1","467-69-6","Annex I Part 1"
"Flurprimidol","","56425-91-3","Annex I Part 1
Annex I Part 2"
"Flurtamone","","96525-23-4","Annex I Part 1
Annex I Part 2"
"Furathiocarb","265-974-3","65907-30-4","Annex I Part 1"
"Glufosinate, including glufosinate-ammonium","","","Annex I Part 1
Annex I Part 2"
"Guazatine","","108173-90-6",""
"Guazatine acetate","","115044-19-4",""
"Guazatine and Guazatine acetate","","","Annex I Part 1
Annex I Part 2"
"HCH (mixed isomers)","210-168-9","608-73-1","Annex I Part 3
Annex V Part 1"
"Heptabromodiphenyl ether","273-031-2","68928-80-3","Annex V Part 1"
"Heptabromodiphenyl ether","273-031-2","68928-80-3",""
"Heptachlor","200-962-3","76-44-8","Annex I Part 3
Annex V Part 1"
"Hexa-n-butylditin","","813-19-4",""
"Hexabromobiphenyl","252-994-2","36355-01-8","Annex I Part 3
Annex V Part 1"
"Hexabromocyclododecane","","","Annex I Part 3
Annex V Part 1"
"Hexabromocyclododecane","247-148-4","25637-99-4",""
"Hexabromodiphenyl ether","253-058-6","36483-60-0","Annex V Part 1"
"Hexabromodiphenyl ether","253-058-6","36483-60-0",""
"Hexachlorobenzene","204-273-9","118-74-1","Annex I Part 3
Annex V Part 1"
"Hexachlorobutadiene","201-765-5","87-68-3","Annex V Part 1"
"Hexachloroethane","200-666-4","67-72-1","Annex I Part 1"
"Hexamethylditin","","661-69-8",""
"Hexanoic acid, 2-ethyl-, cadmium salt, basic","291-438-3","90411-62-4",""
"Hexazinone","257-074-4","51235-04-2","Annex I Part 1"
"Imidacloprid","","138261-41-3","Annex I Part 1"
"Iminoctadine","236-855-3","13516-27-3","Annex I Part 1"
"Indolylacetic Acid","201-748-2","87-51-4","Annex I Part 1
Annex I Part 2"
"Iprodione","253-178-9","36734-19-7","Annex I Part 1
Annex I Part 2"
"Iron trichlorate","237-824-7","14013-71-9",""
"Isononylphenol, ethoxylated","","37205-87-1",""
"Isoproturon","251-835-4","34123-59-6","Annex I Part 1
Annex I Part 2"
"Isoxathion","242-624-8","18854-01-8","Annex I Part 1"
"Lauric acid, lead salt","239-344-3","15306-30-6",""
"Leach residues, cadmium cake","293-309-7","91053-44-0",""
"Leach residues, cadmium-contg. flue dust","305-417-4","94551-70-9",""
"Leach residues, cadmium-refining","273-811-2","69029-70-5",""
"Leach residues, zinc ore-calcine, cadmium-copper ppt.","293-311-8","91053-46-2",""
"Leach residues, zinc refining flue dust, cadmium-thallium ppt.","296-097-4","92257-11-9",""
"Lead alloy, base, dross","273-700-9","69011-59-2",""
"Lead compounds","","","Annex I Part 1"
"Lead dibenzoate","212-841-2","873-54-1",""
"Lead dibromate","251-796-3","34018-28-5",""
"Lead dicyanide","209-742-1","592-05-2",""
"Lead dilactate","242-666-7","18917-82-3",""
"Lead dipalmitate","239-870-3","15773-56-5",""
"Lead diphosphinate","233-664-7","10294-58-3",""
"Lead oxide","215-626-1","1335-25-7",""
"Lead titanium zirconium oxide","235-727-4","12626-81-2",""
"Lead(2+) silicate","233-246-4","10099-76-0",""
"Lead(II) acetate trihydrate","206-104-4","6080-56-4",""
"Lead, antimonial, dross","273-795-7","69029-51-2",""
"Lindane","200-401-2","58-89-9","Annex I Part 3
Annex V Part 1"
"Linuron","206-356-5","330-55-2","Annex I Part 1
Annex I Part 2"
"Lithium chlorate","236-632-0","13453-71-9",""
"Magnesium chlorate","233-711-1","10326-21-3",""
"Malathion","204-497-7","121-75-5","Annex I Part 1"
"Maleic hydrazide, and its salts ...","","","Annex I Part 1"
"Maneb","235-654-8","12427-38-2","Annex I Part 1
Annex I Part 2"
"Mercurate(1-), (4-carboxylatophenyl)hydroxy-, hydrogen (1:1)","","1126-48-3",""
"Mercurate(1-), [dodecenylbutanedioato(2-)-O']phenyl-, hydrogen","304-575-1","94276-88-7",""
"Mercury compounds, including inorganic mercury compounds, alkyl mercury compounds and alkyloxyalkyl and aryl mercury compounds","","","Annex I Part 1
Annex I Part 3"
"Mercury dichloride","231-299-8","7487-94-7",""
"Mercury(I) Bromide","621-489-2","15385-58-7",""
"Mercury(I) nitrate, monohydrate","233-886-4","7782-86-7",""
"Mercury(II) dinitrate, monohydrate","233-152-3","7783-34-8",""
"Mercury(II) perchlorate trihydrate","231-525-5","73491-34-6",""
"Mercury(II) trifluoromethanesulfonate","","49540-00-3",""
"Mercury, bis(acetato-​O)​[μ-​[1,​4-​dioxane-​2,​5-​diylbis(methylene)​]​]​di-","","51023-77-9",""
"Mercury, iodophenyl-","","823-04-1",""
"Mercury, reaction products with stibnite (Sb2S3)","295-924-6","92200-97-0",""
"Methamidophos","233-606-0","10265-92-6","Annex I Part 1
Annex I Part 3"
"Methidathion","213-449-4","950-37-8","Annex I Part 1"
"Methomyl","240-815-0","16752-77-5","Annex I Part 1"
"Methyl bromide","200-813-2","74-83-9","Annex I Part 1
Annex I Part 2"
"Methyl-parathion","206-050-1","298-00-0","Annex I Part 1
Annex I Part 2"
"Methyl-parathion (emulsifiable concentrates (EC) at or above 19,5 % active ingredient and dusts at or above 1,5 % active ingredient)","206-050-1","298-00-0","Annex I Part 1
Annex I Part 3"
"Methyltriphenylarsonium iodide","216-108-8","1499-33-8",""
"Metoxuron","243-433-2","19937-59-8","Annex I Part 1"
"Mirex","219-196-6","2385-85-5","Annex V Part 1"
"Mixture (E) & (Z) isomers","236-116-5","13171-21-6",""
"Monocrotophos","230-042-7","6923-22-4","Annex I Part 1
Annex I Part 3"
"Monolinuron","217-129-5","1746-81-2","Annex I Part 1"
"Monomethyl-Dichloro-Diphenyl methane; Trade name: Ugilec 121 or Ugilec 21","400-140-6","","Annex I Part 1
Annex I Part 2"
"Monomethyl-Tetrachlorodiphenyl methane; Trade name: Ugilec 141","278-404-3","76253-60-6","Annex I Part 1
Annex I Part 2"
"Monomethyl-dibromo-diphenyl methane; Trade name: DBBT","402-210-1","99688-47-8","Annex I Part 1
Annex I Part 2"
"Monuron","205-766-1","150-68-5","Annex I Part 1"
"N,N'-(3,3'-dimethylbiphenyl-4,4'-ylene)di(acetoacetamide)","202-111-1","91-96-3",""
"N,N'-Diphenylbenzidine","208-521-7","531-91-9",""
"N,N,N',N'-Tetraphenylbenzidine","","15546-43-7",""
"N,N,N',N'-tetramethylbenzidine","206-676-5","366-29-0",""
"N,N-dimethyltridecylammonium (2,4,5-trichlorophenoxy)acetate","219-566-7","2464-48-4",""
"N-(ethylmercurio)toluene-4-sulphonanilide","208-231-0","517-16-8",""
"N-(p-arsenosophenyl)-1,3,5-triazine-2,4,6-triamine","244-612-8","21840-08-4",""
"N-ethylheptadecafluoro-N-(2-hydroxyethyl)octanesulphonamide","216-887-4","1691-99-2",""
"N-ethylheptadecafluorooctanesulphonamide","223-980-3","4151-50-2",""
"N2-benzyl pentachlorophenyl N2-carboxy-L-(2-aminoglutaramate)","237-155-0","13673-51-3",""
"N4,N4'-bis(4-bromophenyl)-N4,N4'-diphenyl-[1,1'-biphenyl]-4,4'-diamine","683-711-4","344782-48-5",""
"Naled","206-098-3","300-76-5","Annex I Part 1
Annex I Part 2"
"Naphthalene, chloro derivs.","274-864-4","70776-03-3",""
"Naphthenic acids, cadmium salts","263-053-0","61789-34-2",""
"Naphthenic acids, lead salts","263-109-4","61790-14-5",""
"Naphthenic acids, mercury salts","215-651-8","1336-96-5",""
"Nickel dichlorate","267-897-0","67952-43-6",""
"Nicotine","200-193-3","54-11-5","Annex I Part 1
Annex I Part 2"
"Nitrofen","217-406-0","1836-75-5","Annex I Part 1
Annex I Part 2"
"Nonanoic acid, branched, cadmium salt","297-692-1","93686-40-9",""
"Nonylphenol ethoxylates (C2H4O)nC15H24O","","","Annex I Part 1
Annex I Part 2"
"Nonylphenol, branched, ethoxylated","500-209-1","68412-54-4",""
"Nonylphenol, ethoxylated","500-024-6","9016-45-9",""
"Nonylphenols C6H4(OH)C9H19","","","Annex I Part 1
Annex I Part 2"
"O-Tolidine Dihydrochoride","","612-82-8",""
"Octabromodiphenyl ether","251-087-9","32536-52-0","Annex I Part 1
Annex I Part 2"
"Octadecanoic acid, 12-hydroxy-, cadmium salt, basic","309-795-1","101012-94-6",""
"Octadecanoic acid, cadmium salt, basic","309-794-6","101012-93-5",""
"Omethoate","214-197-8","1113-02-6","Annex I Part 1"
"Orthoboric acid, lead(2+) salt","252-594-8","35498-15-8",""
"Orthosulfamuron","","213464-77-8","Annex I Part 1
Annex I Part 2"
"Oxadiargyl","254-637-6","39807-15-3","Annex I Part 1
Annex I Part 2"
"Oxasulfuron","","144651-06-9","Annex I Part 1
Annex I Part 2"
"Oxydemeton-methyl","206-110-7","301-12-2","Annex I Part 1
Annex I Part 2"
"Paraquat","","","Annex I Part 1
Annex I Part 2"
"Paraquat dichloride","217-615-7","1910-42-5",""
"Paraquat-dichloride hydrate","217-615-7","75365-73-0",""
"Paraquat-dimethylsulfate","218-196-3","2074-50-2",""
"Parathion","200-271-7","56-38-2","Annex I Part 1
Annex I Part 3"
"Pebulate","214-215-4","1114-71-2","Annex I Part 1"
"Pentabromodiphenyl ether","251-084-2","32534-81-9","Annex V Part 1"
"Pentabromodiphenyl ether","251-084-2","32534-81-9",""
"Pentachlorobenzene","210-172-0","608-93-5","Annex V Part 1"
"Pentachloroethane","200-925-1","76-01-7","Annex I Part 1"
"Pentachlorophenol and its salts and esters","","","Annex I Part 1
Annex I Part 3"
"Perfluorooctane sulfonate derivatives (including polymers) not covered by Perfluorooctane sulfonic acid, Perfluorooctane sulfonates, Perfluorooctane sulfonamides, Perfluorooctane sulfonyls","","","Annex I Part 1
Annex I Part 2"
"Perfluorooctane sulfonic acid,Perfluorooctane sulfonates, Perfluorooctane sulfonamides, Perfluorooctane sulfonyls","","","Annex I Part 1
Annex I Part 3"
"Permethrin","258-067-9","52645-53-1","Annex I Part 1"
"Phenol, 2-nonyl-, branched","","91672-41-2",""
"Phenol, 4,4'-[(3,3'-dinitro[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis-","","3687-26-1",""
"Phenol, 4-nonyl-, branched","284-325-5","84852-15-3",""
"Phenol, nonyl-, branched","291-844-0","90481-04-2",""
"Phorate","206-052-2","298-02-2","Annex I Part 1
Annex I Part 3"
"Phosalone","218-996-2","2310-17-0","Annex I Part 1
Annex I Part 2"
"Phosphamidon (soluble liquid formulations of the substance that exceed 1 000 g active ingredient/l)","","","Annex I Part 1
Annex I Part 3"
"Picoxystrobin","","117428-22-5","Annex I Part 1
Annex I Part 2"
"Plumbate(1-), triiodo-, hydrogen, compd. with N,N-dimethylformamide and methanamine (1:1:1:1)","","2101242-86-6",""
"Plumbate(1-), triiodo-, hydrogen, compd. with methanimidamide (1:1:1)","","1451592-07-6",""
"Plumbate(1-​)​, triiodo-​, hydrogen","","43629-00-1",""
"Poly(oxy-1,2-ethanediyl), α-(4-nonylphenyl)-ω-hydroxy-","","26027-38-3",""
"Poly(oxy-1,2-ethanediyl), α-(4-nonylphenyl)-ω-hydroxy-, branched","","127087-87-0",""
"Poly(oxy-1,2-ethanediyl), α-(nonylphenyl)-ω-hydroxy-","","9016-45-9",""
"Poly(oxy-1,2-ethanediyl), α-(nonylphenyl)-ω-hydroxy-, branched","","68412-54-4",""
"Polybrominated biphenyls (PBB) except hexabromo-biphenyl","","","Annex I Part 1
Annex I Part 3"
"Polychlorinated biphenyls (PCB)","","","Annex I Part 3
Annex V Part 1"
"Polychlorinated naphthalenes","","","Annex V Part 1"
"Polychlorinated terphenyls (PCT)","","","Annex I Part 1
Annex I Part 3"
"Potassium arsonate","233-337-9","10124-50-2",""
"Potassium chlorate","223-289-7","3811-04-9",""
"Procymidone","251-233-1","32809-16-8","Annex I Part 1
Annex I Part 2"
"Propachlor","217-638-2","1918-16-7","Annex I Part 1
Annex I Part 2"
"Propanil","211-914-6","709-98-8","Annex I Part 1
Annex I Part 2"
"Propanoic acid, cadmium salt, basic","292-013-5","90529-78-5",""
"Propargite","219-006-1","2312-35-8","Annex I Part 1
Annex I Part 2"
"Propham","204-542-0","122-42-9","Annex I Part 1"
"Propiconazole","262-104-4","60207-90-1","Annex I Part 1"
"Propineb (polymeric zinc propylenebis(dithiocarbamate))","","","Annex I Part 1
Annex I Part 2"
"Propisochlor","","86763-47-5","Annex I Part 1
Annex I Part 2"
"Pymetrozine","","123312-89-0","Annex I Part 1
Annex I Part 2"
"Pyrazophos","236-656-1","13457-18-6","Annex I Part 1
Annex I Part 2"
"Pyridine, 2-​(trimethylstannyl)​-","","13737-05-8",""
"Pyridine, 4-​(trimethylstannyl)​-","","59020-06-3",""
"Pyridine, 4-​methoxy-​2-​(tributylstannyl)​-","","927810-08-0",""
"Pyrochlore, bismuth cadmium ruthenium","270-855-4","68479-13-0",""
"Quinoxyfen","","124495-18-7","Annex I Part 1
Annex I Part 2"
"Quintozene","201-435-0","82-68-8","Annex I Part 1
Annex I Part 2"
"Residues, cadmium-refining","273-819-6","69029-77-2",""
"Residues, zinc refining flue dust wastewater, mercury-selenium","309-609-9","100403-63-2",""
"Resin acids and Rosin acids, cadmium salts","273-320-3","68956-81-0",""
"Rotenone","201-501-9","83-79-4","Annex I Part 1
Annex I Part 2"
"Scilliroside","208-077-4","507-60-8","Annex I Part 1"
"Short-chain chlorinated paraffins","","85535-84-8","Annex I Part 3
Annex V Part 1"
"Silicic acid (H4SiO4), tetraethyl ester, reaction products with bis(acetyloxy)dibutylstannane","300-344-4","93925-42-9",""
"Silicic acid (H4SiO4), tetraethyl ester, reaction products with dibutylbis[(1-oxododecyl)oxy]stannane","274-840-3","70750-24-2",""
"Silicic acid (H4SiO4), zinc salt (1:2), arsenic and manganese-doped","271-895-5","68611-46-1",""
"Silicic acid, chromium lead salt","234-347-6","11113-70-5",""
"Silicic acid, lead salt","234-363-3","11120-22-2",""
"Silicic acid, zirconium salt, cadmium pigment-encapsulated","310-077-5","102184-95-2",""
"Silver chlorate","232-034-9","7783-92-8",""
"Silver hexafluoroarsenate","","12005-82-2",""
"Simazine","204-535-2","122-34-9","Annex I Part 1
Annex I Part 2"
"Slags, lead-zinc smelting","297-907-9","93763-87-2",""
"Slimes and Sludges, cadmium sump tank","273-832-7","69029-91-0",""
"Slimes and Sludges, cadmium-refining, oxidized","273-831-1","69029-90-9",""
"Slimes and Sludges, copper electrolytic refining, decopperized, arsenic-rich","309-772-6","100995-81-1",""
"Slimes and Sludges, copper refining","266-977-2","67712-00-9",""
"Slimes and Sludges, copper-lead ore roasting off gas scrubbing, arsenic-contg.","310-063-9","102110-62-3",""
"Sodium Dimethylarsinate","204-708-2","124-65-2",""
"Sodium arsenate dibasic heptahydrate","","10048-95-0",""
"Sodium cacodylate trihydrate","","6131-99-3",""
"Sodium chlorate","231-887-4","7775-09-9",""
"Sodium hexafluoroarsenate(V)","","12005-86-6",""
"Stannane, 1,​1'-​[4,​8-​bis(octyloxy)​benzo[1,​2-​b:4,​5-​b']​dithiophene-​2,​6-​diyl]​bis[1,​1,​1-​trimethyl-","","1098102-95-4",""
"Stannane, 1,​1'-​[4,​8-​bis[(2-​butyloctyl)​oxy]​benzo[1,​2-​b:4,​5-​b']​dithiophene-​2,​6-​diyl]​bis[1,​1,​1-​trimethyl-","","1271439-08-7",""
"Stannane, 1,​1'-​[4,​8-​bis[5-​(2-​ethylhexyl)​-​2-​thienyl]​benzo[1,​2-​b:4,​5-​b']​dithiophene-​2,​6-​diyl]​bis[1,​1,​1-​trimethyl-","","1352642-37-5",""
"Stannane, 1,​1'-​thieno[3,​2-​b]​thiophene-​2,​5-​diylbis[1,​1,​1-​trimethyl-","","469912-82-1",""
"Stannane, dioctyl-, bis(coco acyloxy) derivs.","293-901-5","91648-39-4",""
"Stannane, tributyl(1-​ethoxyethenyl)​-","","97674-02-7",""
"Stannane, tributyl(methylthio)​-","","17314-32-8",""
"Stannane, tributyl-, mono(C3-23-branched acyloxy) derivs.","292-193-5","90552-68-4",""
"Stannane, tributyl-, mono(resin acyloxy) derivs.","302-265-0","94095-56-4",""
"Stannane, tributyl-, mono(tall-oil fatty acyloxy) derivs.","284-083-0","84777-54-8",""
"Stannane, tributyl-, mono[(C1-12-alkylsulfonyl)oxy] derivs.","292-191-4","90552-67-3",""
"Stannane, tributyl-​1,​2-​propadien-​1-​yl-","","53915-69-8",""
"Stannane, tributyl[(1-oxooctyl)oxy]-, branched","297-707-1","93686-53-4",""
"Stannane, tributyl[(trimethyls​ilyl)​methyl]​-","","77425-85-5",""
"Stannane, tributyl[2-​(trimethylsilyl)​ethynyl]​-","","81353-38-0",""
"Stannane, triphenyl-, mono(C9-11 neofatty acyloxy) derivs.","292-194-0","90552-69-5",""
"Strontium chlorate","232-239-3","7791-10-8",""
"Strychnidin-10-one, arsenite (1:1)","309-388-9","100258-44-4",""
"Strychnine","200-319-7","57-24-9","Annex I Part 1"
"Sulfurous acid, lead salt, dibasic","263-467-1","62229-08-7",""
"Tar acids, coal, crude","266-019-3","65996-85-2",""
"Technazene","204-178-2","117-18-0","Annex I Part 1
Annex I Part 2"
"Tepraloxydim","","149979-41-9","Annex I Part 1
Annex I Part 2"
"Terbufos","235-963-8","13071-79-9","Annex I Part 1"
"Terphenyl, chlorinated","262-968-2","61788-33-8",""
"Tetrabromodiphenyl ether","254-787-2","40088-47-9","Annex V Part 1"
"Tetrabromodiphenyl ether","254-787-2","40088-47-9",""
"Tetraethyl lead","201-075-4","78-00-2","Annex I Part 1
Annex I Part 3"
"Tetramethyl lead","200-897-0","75-74-1","Annex I Part 1
Annex I Part 3"
"Tetraphenylarsonium Chloride Hydrochloride Hydrate","621-302-4","123334-18-9",""
"Tetrasodium 3,3'-[(3,3'-dimethoxy[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[5-amino-4-hydroxynaphthalene-2,7-disulphonate]","219-385-3","2429-74-5",""
"Tetrasodium 6,6'-[(3,3'-dimethoxy[1,1'-biphenyl]-4,4'-diyl)bis(azo)]bis[4-amino-5-hydroxynaphthalene-1,3-disulphonate]","220-026-8","2610-05-1",""
"Thallium sulphate","231-201-3","7446-18-6","Annex I Part 1"
"Thiamethoxam","","153719-23-4","Annex I Part 1
Annex I Part 2"
"Thiobencarb","248-924-5","28249-77-6","Annex I Part 1
Annex I Part 2"
"Thiocyclam","250-859-2","31895-22-4","Annex I Part 1"
"Thiodicarb","261-848-7","59669-26-0","Annex I Part 1
Annex I Part 2"
"Thiomersal","200-210-4","54-64-8",""
