"CAS Registry Number","MITI Number","Chemical Substance Name","Properties","Endpoints"
"3026-63-9","2-1679","Sodium tridecyl sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3026-64-0","2-1679","Sodium 8-ethyl-2-methylundecyl sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3032-58-4","","Compound of dodecyl hydrogen sulfate and propan-2-amine (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"3055-93-4","7-97","2-[2-(Dodec-1-yloxy)ethoxy]ethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3055-94-5","7-97","2-{2-[2-(Dodecyloxy)ethoxy]ethoxy}ethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3055-95-6","7-97","3,6,9,12,15-Pentaoxaheptacosan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3055-99-0","7-97","3,6,9,12,15,18,21,24,27-Nonaoxanonatriacontan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3077-30-3","2-814","N,N-Bis(2-hydroxyethyl)octanamide","Priority Assessment Chemical Substances (PACSs)|","O"
"3077-30-3","2-2503","N,N-Bis(2-hydroxyethyl)octanamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3077-30-3","8-311","N,N-Bis(2-hydroxyethyl)octanamide","Priority Assessment Chemical Substances (PACSs)|","O"
"3077-30-3","2-827","N,N-Bis(2-hydroxyethyl)octanamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3077-30-3","7-87","N,N-Bis(2-hydroxyethyl)octanamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3088-31-1","7-155","Sodium 2-[2-(dodecyloxy)ethoxy]ethyl sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3090-36-6","2-3028","Tributan-1-ylstannyl dodecanoate","Existing chemical substances|Class II specified chemical substance|","O"
"3164-85-0","2-611","Potassium 2-ethylhexanoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3194-55-6","3-2254","1,2,5,6,9,10-Hexabromocyclododecane","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Class I specified chemical substance|","O"
"3282-85-7","2-1679","Sodium 4-ethyl-1-(3-ethylpentyl)octyl sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3332-27-2","2-198","1-Tetradecanamine, N,N-dimethyl-, N-oxide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3354-62-9","2-611","Potassium distearate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3354-62-9","9-1677","Potassium distearate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3380-30-1","3-4387","5-Chloro-2-(4-chlorophenoxy)phenol","Designated (before amendment)|Priority Assessment Chemical Substances (PACSs)|","O"
"3380-34-5","9-381","5-Chloro-2-(2,4-dichlorophenoxy)phenol","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"3380-34-5","9-922","5-Chloro-2-(2,4-dichlorophenoxy)phenol","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"3396-02-9","2-3704","2-Methyldecan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"3396-02-9","2-217","2-Methyldecan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3401-74-9","","N-Dodecyl-N,N-dimethyldodecan-1-aminium chloride","Priority Assessment Chemical Substances (PACSs)||","O"
"3414-89-9","9-1677","Potassium (9Z,12Z)-octadeca-9,12-dienoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3414-89-9","2-611","Potassium (9Z,12Z)-octadeca-9,12-dienoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3432-57-3","4-317","1,4,5,8-Tetrachloronaphthalene","Existing chemical substances|Class I specified chemical substance","O"
"3644-38-0","3-2599","Tributyl(pentachlorophenoxy)stannane","Existing chemical substances|Class I specified chemical substance|","O"
"3699-30-7","2-1249","Potassium diethyldithiocarbamate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"3766-81-2","3-2211","2-sec-butylphenyl methylcarbamate","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Designated (before amendment)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3772-94-9","3-986","Pentachlorophenyl laurate","Existing chemical substances|Class I specified chemical substance","O"
"3792-59-4","3-3371","Phosphonothioic acid, phenyl-, O-(2,4-dichlorophenyl) O-ethyl ester","Existing chemical substances|Monitoring Chemical Substances","O"
"3794-83-0","2-2936","Tetrasodium (1-hydroxy-1,1-ethanediyl)bis(phosphonate)","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3794-83-0","2-4162","Tetrasodium (1-hydroxy-1,1-ethanediyl)bis(phosphonate)","Priority Assessment Chemical Substances (PACSs)|","O"
"3811-73-2","9-1473","2-Pyridinethiol, 1-oxide, sodium salt","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3818-68-6","","Ethyl(dimethyl)(octyl)ammonium ethyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"3842-58-8","4-41","1,1'-Biphenyl, 4-cyclohexyl-","Existing chemical substances|Monitoring Chemical Substances","O"
"3843-16-1","","N,N-Dimethyl-N-octadecyl-1-octadecanaminium methyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"3846-71-7","5-3604","2-(2H-1,2,3-Benzotriazol-2-yl)-4,6-di-tert-butylphenol","Existing chemical substances|Class I specified chemical substance|","O"
"3846-71-7","5-3580","2-(2H-1,2,3-Benzotriazol-2-yl)-4,6-di-tert-butylphenol","Existing chemical substances|Class I specified chemical substance","O"
"3864-99-1","5-3581","2,4-Di-tert-butyl-6-(5-chloro-2H-benzotriazol-2-yl)phenol","Existing chemical substances|Monitoring Chemical Substances","O"
"3864-99-1","5-3605","2,4-Di-tert-butyl-6-(5-chloro-2H-benzotriazol-2-yl)phenol","Existing chemical substances|Monitoring Chemical Substances","O"
"3913-02-8","2-3704","2-butyloctan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"3913-02-8","2-217","2-butyloctan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"3926-62-3","2-1146","Sodium chloroacetate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||","O"
"3983-91-3","","Tetramethylammonium 4-methylbenzenesulfonate","Priority Assessment Chemical Substances (PACSs)||","O"
"4016-24-4","2-3065","Sodium 1-(methoxycarbonyl)pentadecane-1-sulfonate","Newly Announced Chemical Substances (notified by March 31, 2011)|Priority Assessment Chemical Substances (PACSs)|","O"
"4021-47-0","2-2810","Sodium perfluoro(octane-1-sulfonate)","Existing chemical substances|Class I specified chemical substance|","O"
"4062-78-6","2-3065","Sodium methyl 2-sulphooctadecanoate","Newly Announced Chemical Substances (notified by March 31, 2011)|Priority Assessment Chemical Substances (PACSs)||","O"
"4131-80-0","2-217","4-Ethyl-7-methyloctan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4131-80-0","2-3704","4-Ethyl-7-methyloctan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"4254-14-2","2-234","(R)-Propane-1,2-diol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4254-15-3","2-234","(S)-Propane-1,2-diol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4268-63-7","7-973","Sodium pentadecanoate","Priority Assessment Chemical Substances (PACSs)|","O"
"4268-63-7","2-611","Sodium pentadecanoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4272-06-4","2-217","Undecan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4272-06-4","2-3704","Undecan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"4292-10-8","2-1290","[(3-Dodecanamidopropyl)(dimethyl)ammonio]acetate","Priority Assessment Chemical Substances (PACSs)||","O"
"4292-10-8","9-2027","[(3-Dodecanamidopropyl)(dimethyl)ammonio]acetate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"4292-10-8","2-2707","[(3-Dodecanamidopropyl)(dimethyl)ammonio]acetate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"4316-66-9","","Diethyl[2-(methacryloyloxy)ethyl](methyl)ammonium methyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"4337-66-0","","(2-Hydroxyethyl)ammonium benzoate","Priority Assessment Chemical Substances (PACSs)||","O"
"4403-12-7","7-97","2-{2-[2-(Tridecyloxy)ethoxy]ethoxy}ethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4439-24-1","7-97","2-Isobutoxyethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4439-24-1","2-407","2-Isobutoxyethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4439-24-1","2-2424","2-Isobutoxyethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4492-78-8","","Compound of tetradecyl hydrogen sulfate and 2,2',2''-nitrilotriethanol","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"4492-79-9","","Compound of hexadecyl hydrogen sulfate and 2,2',2''-nitrilotriethanol","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"4492-80-2","","Compound of 2,2',2''-nitrilotriethanol and octadecyl hydrogen sulfate (1:1)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"4536-30-5","7-97","2-(Dodecyloxy)ethanol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4615-11-6","2-1639","Sodium 2-hydroxyhexadecane-1-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"4615-11-6","2-2807","Sodium 2-hydroxyhexadecane-1-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"4615-11-6","9-2038","Sodium 2-hydroxyhexadecane-1-sulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4615-13-8","9-2038","Sodium hexadec-1-ene-1-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"4615-13-8","2-2807","Sodium hexadec-1-ene-1-sulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4615-13-8","2-1639","Sodium hexadec-1-ene-1-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"4636-73-1","","Triethylammonium iodide","Priority Assessment Chemical Substances (PACSs)||","O"
"4696-46-2","","Ammonium octadecyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"4696-47-3","","Ammonium hexadecyl sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"4696-48-4","","Compound of 2-aminoethanol and hexadecyl hydrogen sulfate (1:1)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"4696-49-5","","Compound of 2-aminoethanol and octadecyl hydrogen sulfate (1:1)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"4706-81-4","2-217","Tetradecan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4706-81-4","2-3704","Tetradecan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"4722-98-9","","Compound of 2-aminoethanol and dodecyl hydrogen sulfate (1:1)","Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||","O"
"4736-48-5","3-2239","1,5,9-Cyclododecatriene, (Z,Z,Z)-","Existing chemical substances|Monitoring Chemical Substances","O"
"4736-49-6","3-2254","rel-(1R,2S,5R,6S,9R,10S)-1,2,5,6,9,10-Hexabromocyclododecane","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Class I specified chemical substance|","O"
"4782-29-0","3-2596","Bis(tributan-1-ylstannyl) phthalate","Existing chemical substances|Class II specified chemical substance|","O"
"4860-03-1","2-68","1-Chlorohexadecane","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4862-03-7","2-68","1-Chloropentadecane","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4904-61-4","3-2239","1,5,9-Cyclododecatriene","Existing chemical substances|Monitoring Chemical Substances","O"
"4979-32-2","5-256","N,N-Dicyclohexan-1-yl(1,3-benzothiazol-2-ylsulfanyl)amine","Existing chemical substances|Monitoring Chemical Substances||","O"
"4989-79-1","2-217","2,3,7-Trimethyloctan-2-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"4989-79-1","2-3704","2,3,7-Trimethyloctan-2-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"5064-31-3","2-1277","Trisodium 2,2',2''-nitrilotriacetate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"5103-71-9","4-637","rel-(1R,2S,3R,4S,6S,7S)-1,3,4,7,8,9,10,10-Octachlorotricyclo[5.2.1.0(2,6)]dec-8-ene","Existing chemical substances|Class I specified chemical substance","O"
"5103-74-2","4-637","rel-(1R,2S,3R,4R,6S,7S)-1,3,4,7,8,9,10,10-Octachlorotricyclo[5.2.1.0(2,6)]dec-8-ene","Existing chemical substances|Class I specified chemical substance","O"
"5108-33-8","2-3704","2,4,6,8-Tetramethylnonan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"5108-33-8","2-217","2,4,6,8-Tetramethylnonan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5274-68-0","7-97","3,6,9,12-Tetraoxatetracosan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5284-41-3","9-839","(1,3-Dioxo-4,5,6,7-tetrahydroisoindolin-2-yl)methyl 2,2-dimethyl-3-(2-methylprop-1-en-1-yl)cyclopropane-1-carboxylate","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"5340-31-8","2-217","6-Methylundecan-6-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5340-31-8","2-3704","6-Methylundecan-6-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"5340-35-2","2-217","3-Isopropyl-2-methylheptan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5340-35-2","2-3704","3-Isopropyl-2-methylheptan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"5340-51-2","2-3704","5-Ethylnonan-5-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"5340-51-2","2-217","5-Ethylnonan-5-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5340-52-3","2-3704","5-Propylnonan-5-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"5340-52-3","2-217","5-Propylnonan-5-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5340-80-7","2-217","5-tert-Butylnonan-5-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5340-80-7","2-3704","5-tert-Butylnonan-5-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"5341-61-7","","Hydrazine dihydrochloride","Priority Assessment Chemical Substances (PACSs)||","O"
"5436-43-1","3-61","2,4-Dibromo-1-(2,4-dibromophenoxy)benzene","Existing chemical substances|Class I specified chemical substance","O"
"5457-42-1","2-3704","3-Isopropyl-2,2,4,4-tetramethylpentan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"5457-42-1","2-217","3-Isopropyl-2,2,4,4-tetramethylpentan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5470-11-1","","Hydroxylammonium chloride","Priority Assessment Chemical Substances (PACSs)||","O"
"5566-34-7","","1,4,4,7,8,9,10,10-Octachlorotricyclo[5.2.1.0(2,6)]dec-8-ene","Class I specified chemical substance","O"
"5770-03-6","2-217","Tridecan-6-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5770-03-6","2-3704","Tridecan-6-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"5794-03-6","4-613","(1R,4S)-2,2-Dimethyl-3-methylenebicyclo[2.2.1]heptane","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5794-04-7","4-613","(1S,4R)-2,2-Dimethyl-3-methylenebicyclo[2.2.1]heptane","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5802-89-1","2-1640","Sodium tridecane-1-sulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5838-34-6","2-1640","Sodium undecane-1-sulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5896-54-8","2-1640","Sodium pentadecane-1-sulphonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5902-76-1","","Methyl(pentachlorophenolato)mercury","Class I specified chemical substance","O"
"5910-79-2","2-1679","Sodium heptadecyl sulfate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5919-72-2","2-611","Sodium octadeca-9,11-dienoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"5919-72-2","7-973","Sodium octadeca-9,11-dienoate","Priority Assessment Chemical Substances (PACSs)|","O"
"5989-27-5","7-988","(R)-4-Isopropenyl-1-methylcyclohex-1-ene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"5989-27-5","8-498","(R)-4-Isopropenyl-1-methylcyclohex-1-ene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"5989-27-5","3-2245","(R)-4-Isopropenyl-1-methylcyclohex-1-ene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances|","O"
"6058-23-7","","1,8,9,10,11,11-Hexachloro-4-oxatetracyclo[6.2.1.0(2,7).0(3,5)]undec-9-ene","Class I specified chemical substance","O"
"6148-68-1","3-1949","Sodium 4-tridecan-2-ylbenzene-1-sulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6148-68-1","3-1906","Sodium 4-tridecan-2-ylbenzene-1-sulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6148-68-1","3-1884","Sodium 4-tridecan-2-ylbenzene-1-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"6165-51-1","4-38","2-(1-phenylethyl)-p-xylene","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6165-51-1","4-244","2-(1-phenylethyl)-p-xylene","Type II Monitoring Chemical Substances (before amendment in FY 2009)|Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6165-52-2","4-38","2,4-Dimethyl-1-(1-phenylethyl)benzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6165-52-2","4-244","2,4-Dimethyl-1-(1-phenylethyl)benzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6179-44-8","2-2707","[Dimethyl(3-stearamidopropyl)ammonio]acetate","Priority Assessment Chemical Substances (PACSs)|","O"
"6179-44-8","2-1290","[Dimethyl(3-stearamidopropyl)ammonio]acetate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6179-44-8","9-2027","[Dimethyl(3-stearamidopropyl)ammonio]acetate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6196-95-8","4-38","1,2-Dimethyl-4-(1-phenylethyl)benzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6196-95-8","4-244","1,2-Dimethyl-4-(1-phenylethyl)benzene","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6203-63-0","2-2807","Sodium 1-hydroxytetradecane-2-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"6203-63-0","9-2038","Sodium 1-hydroxytetradecane-2-sulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6203-63-0","2-1639","Sodium 1-hydroxytetradecane-2-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"6203-64-1","2-1639","Sodium 1-hydroxyhexadecane-2-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"6203-64-1","9-2038","Sodium 1-hydroxyhexadecane-2-sulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6203-64-1","2-2807","Sodium 1-hydroxyhexadecane-2-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"6259-76-3","3-1585","Hexan-1-yl 2-hydroxybenzoate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6345-85-3","2-217","2-Pentylheptan-1-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6345-85-3","2-3704","2-Pentylheptan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"6430-90-6","4-18","2,4,4'-Tribromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"6454-35-9","2-2030","Bis(tributan-1-ylstannyl) fumarate","Existing chemical substances|Class II specified chemical substance|","O"
"6517-25-5","2-2241","Tributan-1-ylstannyl sulfamate","Existing chemical substances|Class II specified chemical substance|","O"
"6529-87-9","4-317","1,2,4,8-Tetrachloronaphthalene","Existing chemical substances|Class I specified chemical substance","O"
"6632-94-6","2-217","4-Propyloctan-4-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6632-94-6","2-3704","4-Propyloctan-4-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"6683-35-8","4-18","3,4,4'-Tribromobiphenyl","Existing chemical substances|Monitoring Chemical Substances","O"
"6731-36-8","3-2341","1,1-Bis(tert-butyl)-3,3,5-trimethylcyclohexane peroxide","Existing chemical substances|Monitoring Chemical Substances|","O"
"6733-54-6","4-317","1,2,4,5-Tetrachloronaphthalene","Existing chemical substances|Class I specified chemical substance","O"
"6836-38-0","2-3704","Dodecan-6-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"6836-38-0","2-217","Dodecan-6-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6929-08-4","2-3704","Undecan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"6929-08-4","2-217","Undecan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"6994-45-2","2-1640","Sodium tetradecane-1-sulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7012-37-5","","2,4,4'-trichlorobiphenyl","Class I specified chemical substance","O"
"7094-94-2","3-2593","Triphenylstannyl chloroacetate","Existing chemical substances|Class II specified chemical substance|","O"
"7128-91-8","2-198","Hexadecyl(dimethyl)amine oxide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7173-51-5","","Didecyldimethylammonium chloride","Priority Assessment Chemical Substances (PACSs)||","O"
"7212-69-3","","(9Z)-N,N-Dimethyl-N-[(9Z)-octadec-9-en-1-yl]octadec-9-en-1-aminium chloride","Priority Assessment Chemical Substances (PACSs)||","O"
"7281-04-1","","Benzyl(dodecyl)(dimethyl)ammonium bromide","Priority Assessment Chemical Substances (PACSs)||","O"
"7311-27-5","3-589","11-(4-Nonylphenoxy)-3,6,9-trioxaundecan-1-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"7311-27-5","7-172","11-(4-Nonylphenoxy)-3,6,9-trioxaundecan-1-ol","Type III Monitoring Chemical Substances (before amendment in FY 2009)|Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7335-65-1","","Hydrazine acetate (1:1)","Priority Assessment Chemical Substances (PACSs)||","O"
"7355-88-6","9-2038","Sodium 1-hydroxyhexadecane-1-sulfonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7355-88-6","2-2807","Sodium 1-hydroxyhexadecane-1-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"7355-88-6","2-1639","Sodium 1-hydroxyhexadecane-1-sulfonate","Priority Assessment Chemical Substances (PACSs)|","O"
"7376-31-0","","2,2',2''-Nitrilotriethanol sulfate","Priority Assessment Chemical Substances (PACSs)||","O"
"7394-38-9","","Compound of 4-nitrobenzoate with 2,2',2''-nitrilotriethanol","Priority Assessment Chemical Substances (PACSs)||","O"
"7396-58-9","2-176","Didec-1-yl(methyl)amine","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|Priority Assessment Chemical Substances (PACSs)||Canceled - Priority Assessment Chemical Substances","O"
"7399-24-8","2-217","3-Methyldecan-3-ol","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7399-24-8","2-3704","3-Methyldecan-3-ol","Priority Assessment Chemical Substances (PACSs)|","O"
"7414-83-7","2-4162","Disodium (1-hydroxyethylidene)diphosphonate","Priority Assessment Chemical Substances (PACSs)|","O"
"7414-83-7","2-2936","Disodium (1-hydroxyethylidene)diphosphonate","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7497-08-7","","Bis(pentachlorophenyl) carbonate","Class I specified chemical substance","O"
"7545-23-5","2-2503","N,N-Bis(2-hydroxyethyl)tetradecanamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7545-23-5","2-814","N,N-Bis(2-hydroxyethyl)tetradecanamide","Priority Assessment Chemical Substances (PACSs)|","O"
"7545-23-5","7-87","N,N-Bis(2-hydroxyethyl)tetradecanamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7545-23-5","2-827","N,N-Bis(2-hydroxyethyl)tetradecanamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7545-23-5","8-311","N,N-Bis(2-hydroxyethyl)tetradecanamide","Priority Assessment Chemical Substances (PACSs)|","O"
"7545-24-6","2-2503","N,N-Bis(2-hydroxyethyl)palmitamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7545-24-6","2-814","N,N-Bis(2-hydroxyethyl)palmitamide","Priority Assessment Chemical Substances (PACSs)|","O"
"7545-24-6","7-87","N,N-Bis(2-hydroxyethyl)palmitamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7545-24-6","8-311","N,N-Bis(2-hydroxyethyl)palmitamide","Priority Assessment Chemical Substances (PACSs)|","O"
"7545-24-6","2-827","N,N-Bis(2-hydroxyethyl)palmitamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7601-53-8","","Tris(2-hydroxyethyl)ammonium iodide","Priority Assessment Chemical Substances (PACSs)||","O"
"7651-02-7","2-2509","N-[3-(N,N-Dimethylamino)propan-1-yl]stearamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
"7651-02-7","2-2521","N-[3-(N,N-Dimethylamino)propan-1-yl]stearamide","Existing chemical substances|Priority Assessment Chemical Substances (PACSs)|","O"
